"graph","type","k","min_km1","avg_km1","avg_imbalance","avg_time"
"192bit.mtx.hgr","SPM",4,29522,29814,0,72.3062
"192bit.mtx.hgr","SPM",8,44667,45213.8,0.00596142606663,162.4877
"192bit.mtx.hgr","SPM",32,60080,60164.5,0.0373831775701,873.2819
"192bit.mtx.hgr","SPM",64,64144,64207.7,0.06495327102805,1401.613
"192bit.mtx.hgr","SPM",128,74250,74301.7,0.07383177570095,2757.9212
"2cubes_sphere.mtx.hgr","SPM",2,3969,3999.6,0.02956883301148,39.51435
"2cubes_sphere.mtx.hgr","SPM",4,10844,10932.1,0.02557048831434,43.09875
"2cubes_sphere.mtx.hgr","SPM",8,18844,19053.1,0.0280129266178,48.984
"2cubes_sphere.mtx.hgr","SPM",16,27599,27821.3,0.02961853720051,62.26095
"2cubes_sphere.mtx.hgr","SPM",32,38457,38639.9,0.0296343001261,87.7308
"2cubes_sphere.mtx.hgr","SPM",64,52427,52732.9,0.0296343001261,143.1112
"2cubes_sphere.mtx.hgr","SPM",128,70680,71104.7,0.0290037831021,229.0946
"2D_54019_highK.mtx.hgr","SPM",2,467,469.8,0.00697149203997245,5.15035
"2D_54019_highK.mtx.hgr","SPM",4,1249,1254.6,0.0140392447241704,5.3246
"2D_54019_highK.mtx.hgr","SPM",8,2672,2681.8,0.009314378794615,6.8765
"2D_54019_highK.mtx.hgr","SPM",16,4618,4668.9,0.01409535090317,10.1457
"2D_54019_highK.mtx.hgr","SPM",32,7140,7241.8,0.0190053285968,14.80195
"2D_54019_highK.mtx.hgr","SPM",64,11013,11051.5,0.02556213017752,26.24055
"2D_54019_highK.mtx.hgr","SPM",128,16212,16293.9,0.05390070921985,41.2036
"3Dspectralwave2.mtx.hgr","SPM",2,6965,7122.8,0.024476041752266,179.8907
"3Dspectralwave2.mtx.hgr","SPM",4,21019,21180,0.03224569189885,198.2228
"3Dspectralwave2.mtx.hgr","SPM",8,40332,40735,0.03733596339826,221.1237
"3Dspectralwave2.mtx.hgr","SPM",16,66704,67076.4,0.05739411539095,276.0375
"3Dspectralwave2.mtx.hgr","SPM",32,97121,97628.5,0.0665023011177,352.9877
"3Dspectralwave2.mtx.hgr","SPM",64,139200,140177.3,0.07613412228792,486.4882
"3Dspectralwave2.mtx.hgr","SPM",128,191724,192445.5,0.09877300613492,694.3844
"ABACUS_shell_hd.mtx.hgr","SPM",2,226,233.4,0.0048265846574404,1.4279
"ABACUS_shell_hd.mtx.hgr","SPM",4,688,703,0.0014522467110892,1.9377
"ABACUS_shell_hd.mtx.hgr","SPM",8,1150,1183.8,0.0011615989067293,2.8469
"ABACUS_shell_hd.mtx.hgr","SPM",16,1898,1941.2,0.006625683060107,4.8196
"ABACUS_shell_hd.mtx.hgr","SPM",32,3078,3107.2,0.01188524590164,9.4809
"ABACUS_shell_hd.mtx.hgr","SPM",64,4688,4715.2,0.02295081967214,20.606
"ABACUS_shell_hd.mtx.hgr","SPM",128,7236,7262.9,0.03442622950822,35.5096
"af23560.mtx.hgr","SPM",2,608,608,0.0053140916808203,4.0785
"af23560.mtx.hgr","SPM",4,1824,1824,0.0108828522920181,4.427
"af23560.mtx.hgr","SPM",8,3611,3762.6,0.02176570458404,7.9012
"af23560.mtx.hgr","SPM",16,5928,5986.9,0.0283095723014,10.0524
"af23560.mtx.hgr","SPM",32,9428,9544,0.029579375848,17.0493
"af23560.mtx.hgr","SPM",64,14610,14693.5,0.04986449864498,40.497
"af23560.mtx.hgr","SPM",128,22332,22437.4,0.0897297297299,55.2942
"af_4_k101.mtx.hgr","SPM",2,1700,1701,0.0063519357618548,92.6165
"af_4_k101.mtx.hgr","SPM",4,5100,5112,0.00437227477423762,106.5981
"af_4_k101.mtx.hgr","SPM",8,11445,11512,0.0025177113447877,138.7809
"af_4_k101.mtx.hgr","SPM",16,18085,18250,0.0022079613686177,148.0337
"af_4_k101.mtx.hgr","SPM",32,29125,29551.5,0.003526272317173,162.6773
"af_4_k101.mtx.hgr","SPM",64,43860,44061.5,0.008894536213467,175.4907
"af_4_k101.mtx.hgr","SPM",128,65950,66371.5,0.011689961880555,204.0979
"af_shell1.mtx.hgr","SPM",2,1850,1896,0.00563328949244979,111.9692
"af_shell1.mtx.hgr","SPM",4,4525,4565,0.0061165956233056,116.7776
"af_shell1.mtx.hgr","SPM",8,8860,8933,0.0024640689622392,145.4248
"af_shell1.mtx.hgr","SPM",16,16590,16815.5,0.0023451860302969,152.1524
"af_shell1.mtx.hgr","SPM",32,27375,27692.5,0.004563605248149,164.8027
"af_shell1.mtx.hgr","SPM",64,43080,43261.5,0.00564076562302,176.4221
"af_shell1.mtx.hgr","SPM",128,63930,64582.5,0.012801013941702,206.339
"airfoil_2d.mtx.hgr","SPM",2,334,338.2,0.012916842549608,2.2231
"airfoil_2d.mtx.hgr","SPM",4,717,723.3,0.01767023072594,2.843
"airfoil_2d.mtx.hgr","SPM",8,1404,1421.5,0.02824985931344,4.1104
"airfoil_2d.mtx.hgr","SPM",16,2500,2525.6,0.02868391451071,8.0228
"airfoil_2d.mtx.hgr","SPM",32,4125,4160.2,0.04,16.1707
"airfoil_2d.mtx.hgr","SPM",64,6626,6658.4,0.0511210762332,31.9341
"airfoil_2d.mtx.hgr","SPM",128,10291,10321.1,0.05714285714287,47.9057
"Andrews.mtx.hgr","SPM",2,4030,4032.6,0.02998333333335,23.9322
"Andrews.mtx.hgr","SPM",4,9180,9256,0.03,32.7156
"Andrews.mtx.hgr","SPM",8,16694,16942.2,0.03,47.0386
"Andrews.mtx.hgr","SPM",16,27082,27540.6,0.03341333333335,73.484
"Andrews.mtx.hgr","SPM",32,41760,42124.4,0.05733333333334,117.7116
"Andrews.mtx.hgr","SPM",64,61919,62230.9,0.0680170575693,190.9614
"Andrews.mtx.hgr","SPM",128,86516,87152.6,0.09083155650317,278.8485
"appu.mtx.hgr","SPM",2,13949,13953.9,0.03,33.8233
"appu.mtx.hgr","SPM",4,41848,41854.1,0.03214285714286,996.8098
"appu.mtx.hgr","SPM",8,97040,97082.4,0.04885714285714,1624.6093
"appu.mtx.hgr","SPM",16,204310,204368.6,0.06102857142856,1949.0708
"appu.mtx.hgr","SPM",32,390296,391306.2,0.07831050228311,6716.6926
"as-22july06.mtx.hgr","SPM",2,340,370.2,0.0298728444522,3.4706
"as-22july06.mtx.hgr","SPM",4,2177,2340.5,0.0297857516112,8.9299
"as-22july06.mtx.hgr","SPM",8,3726,3780.5,0.0296064089168,14.2933
"as-22july06.mtx.hgr","SPM",16,5361,5566,0.0292479108635,21.6694
"as-22july06.mtx.hgr","SPM",32,7256,7335,0.02994428969358,36.072
"as-22july06.mtx.hgr","SPM",64,9031,9103.1,0.06713091922006,76.9172
"as-22july06.mtx.hgr","SPM",128,11411,11482.7,0.05833333333333,194.3497
"as-caida.mtx.hgr","SPM",2,321,325,0.01198215423836,3.49205
"as-caida.mtx.hgr","SPM",4,2174,2251.2,0,10.23135
"as-caida.mtx.hgr","SPM",8,4456,4533.5,0,16.11505
"as-caida.mtx.hgr","SPM",16,6315,6371.6,0,24.1308
"as-caida.mtx.hgr","SPM",32,8077,8127.9,0,39.29655
"as-caida.mtx.hgr","SPM",64,9888,9971,0,82.9073
"as-caida.mtx.hgr","SPM",128,12341,12372.4,0,204.14115
"astro-ph.mtx.hgr","SPM",2,4038,4110.9,0,6.9702
"astro-ph.mtx.hgr","SPM",4,8271,8459,0,12.0035
"astro-ph.mtx.hgr","SPM",8,13262,13481.4,0,20.2445
"astro-ph.mtx.hgr","SPM",16,18294,18554.2,0,32.494
"astro-ph.mtx.hgr","SPM",32,23610,23850.4,0,50.2539
"astro-ph.mtx.hgr","SPM",64,29206,29437.5,0.01221374045802,73.9702
"astro-ph.mtx.hgr","SPM",128,34967,35180.9,0.01832061068702,101.2202
"atmosmodj.mtx.hgr","SPM",2,17168,17168,0.014082138988932,351.8946
"atmosmodj.mtx.hgr","SPM",4,32392,32744.4,0.001184478980378,591.4633
"atmosmodj.mtx.hgr","SPM",8,58645,59249.8,0.0047914410216315,606.2746
"atmosmodj.mtx.hgr","SPM",16,91130,92972.1,0.0014218785421018,624.5169
"atmosmodj.mtx.hgr","SPM",32,127481,128303.9,0.00294199138560799,658.0083
"atmosmodj.mtx.hgr","SPM",64,174581,175447.4,0.005097979950637,725.0922
"atmosmodj.mtx.hgr","SPM",128,232859,234004.1,0.009601047753376,846.5479
"av41092.mtx.hgr","SPM",2,632,645.2,0.0021172004283037,7.6732
"av41092.mtx.hgr","SPM",4,1594,1616.4,0.02747006716636,9.4041
"av41092.mtx.hgr","SPM",8,4172,4310.4,0.02886898968269,13.79525
"av41092.mtx.hgr","SPM",16,7618,7860.2,0.0322304398599,21.20965
"av41092.mtx.hgr","SPM",32,13704,13966.4,0.03252918287939,38.37335
"av41092.mtx.hgr","SPM",64,23000,23300.4,0.04432348367029,82.68415
"av41092.mtx.hgr","SPM",128,35238,36465.4,0.05403726708074,172.2911
"barrier2-1.mtx.hgr","SPM",2,7188,7300.3,0.019112809084155,46.5667
"barrier2-1.mtx.hgr","SPM",4,13542,13707.8,0.02516537549966,51.6799
"barrier2-1.mtx.hgr","SPM",8,21067,21286.1,0.02920410328968,56.2876
"barrier2-1.mtx.hgr","SPM",16,32962,33175.8,0.0298528579513,65.0267
