"graph","type","k","min_km1","avg_km1","avg_imbalance","avg_time"
"192bit.mtx.hgr","SPM",4,16745,16789.3,0,56.6252
"192bit.mtx.hgr","SPM",8,26671,26721.1,0,69.6043
"192bit.mtx.hgr","SPM",32,47910,47977.6,0,87.8982
"192bit.mtx.hgr","SPM",64,58554,58591.1,0,95.6866
"192bit.mtx.hgr","SPM",128,68979,69031.8,0,99.4181
"2cubes_sphere.mtx.hgr","SPM",2,3933,3949.7,0.02866826942025,40.017
"2cubes_sphere.mtx.hgr","SPM",4,10923,11009.8,0.02552319394632,73.9239
"2cubes_sphere.mtx.hgr","SPM",8,19370,19462.8,0.02009143217466,108.4518
"2cubes_sphere.mtx.hgr","SPM",16,28538,28861.3,0.02085435056745,138.4342
"2cubes_sphere.mtx.hgr","SPM",32,39883,40207.2,0.0187263556116,170.1566
"2cubes_sphere.mtx.hgr","SPM",64,54402,54577.4,0.02206809583857,201.4581
"2cubes_sphere.mtx.hgr","SPM",128,72966,73339.8,0.0215636822194,240.0111
"2D_54019_highK.mtx.hgr","SPM",2,462,464.9,0.016308774527956,5.3889
"2D_54019_highK.mtx.hgr","SPM",4,1244,1249.8,0.00612365790447853,9.8028
"2D_54019_highK.mtx.hgr","SPM",8,2646,2653,0.0068414038205226,14.2322
"2D_54019_highK.mtx.hgr","SPM",16,4608,4638.8,0.008054486230385,18.926
"2D_54019_highK.mtx.hgr","SPM",32,7224,7270,0.009236234458267,24.3592
"2D_54019_highK.mtx.hgr","SPM",64,10864,10969.4,0.008284023668636,30.8538
"2D_54019_highK.mtx.hgr","SPM",128,16083,16139.5,0.008510638297868,39.2277
"3Dspectralwave2.mtx.hgr","SPM",2,6975,6981.3,0.02933344291936,194.5439
"3Dspectralwave2.mtx.hgr","SPM",4,21352,21602.5,0.01367085833264,367.6152
"3Dspectralwave2.mtx.hgr","SPM",8,40677,40840.8,0.01850360264101,528.2196
"3Dspectralwave2.mtx.hgr","SPM",16,67143,67663.3,0.02163717056599,680.2282
"3Dspectralwave2.mtx.hgr","SPM",32,97056,97464,0.0204251588867,833.2879
"3Dspectralwave2.mtx.hgr","SPM",64,140414,140821.9,0.0217839140916,985.3559
"3Dspectralwave2.mtx.hgr","SPM",128,195158,196287.2,0.02283085013147,1145.7125
"ABACUS_shell_hd.mtx.hgr","SPM",2,210,210,0.007765248590466,1.8596
"ABACUS_shell_hd.mtx.hgr","SPM",4,646,647.4,0.013241072954052,3.9011
"ABACUS_shell_hd.mtx.hgr","SPM",8,1122,1152.8,0.02019132217288,6.0429
"ABACUS_shell_hd.mtx.hgr","SPM",16,1872,1885.4,0.01755464480875,8.6823
"ABACUS_shell_hd.mtx.hgr","SPM",32,2988,3025.4,0.01967213114754,11.8867
"ABACUS_shell_hd.mtx.hgr","SPM",64,4569,4609,0.01639344262298,16.6244
