"graph","type","k","min_km1","avg_km1","avg_imbalance","avg_time"
"192bit.mtx.hgr","SPM",4,16962,17043.7,0.0298158,29.135745
"192bit.mtx.hgr","SPM",8,27156,27485.7,0.0298071,27.44897
"192bit.mtx.hgr","SPM",32,46666,47292.5,0.0280374,36.447837
"192bit.mtx.hgr","SPM",64,57335,57583.6,0.0280374,43.847427
"192bit.mtx.hgr","SPM",128,69742,69861,0.0280374,50.01743717
"2cubes_sphere.mtx.hgr","SPM",2,3896,3948.3,0.02386,4.7855132
"2cubes_sphere.mtx.hgr","SPM",4,10620,10799.9,0.02452607,9.182081
"2cubes_sphere.mtx.hgr","SPM",8,18333,18703,0.02679121,19.190614
"2cubes_sphere.mtx.hgr","SPM",16,26648,27097.8,0.02919296,35.18162
"2cubes_sphere.mtx.hgr","SPM",32,37319,37824.2,0.02991807,58.67102
"2cubes_sphere.mtx.hgr","SPM",64,51186,51387.3,0.0296343,90.30008
"2cubes_sphere.mtx.hgr","SPM",128,68549,68653.9,0.0290038,130.63589
"2D_54019_highK.mtx.hgr","SPM",2,462,465.5,0.00208441529,1.2122733
"2D_54019_highK.mtx.hgr","SPM",4,1238,1242.5,0.01235837426,1.5038748
"2D_54019_highK.mtx.hgr","SPM",8,2587,2630,0.013194136,2.211464
"2D_54019_highK.mtx.hgr","SPM",16,4414,4466.3,0.02312704,3.3355147
"2D_54019_highK.mtx.hgr","SPM",32,6892,6984.5,0.02735348,5.4469982
"2D_54019_highK.mtx.hgr","SPM",64,10461,10595.6,0.0295858,7.900299
"2D_54019_highK.mtx.hgr","SPM",128,15678,15726.9,0.0283688,11.842874
"3Dspectralwave2.mtx.hgr","SPM",2,7037,7390,0.02744378,46.8572827
"3Dspectralwave2.mtx.hgr","SPM",4,21408,22608.1,0.02827869,66.395577
"3Dspectralwave2.mtx.hgr","SPM",8,41263,42535.4,0.02752527,89.93674
"3Dspectralwave2.mtx.hgr","SPM",16,67424,69038.8,0.02977921,134.24702
"3Dspectralwave2.mtx.hgr","SPM",32,98163,99954.6,0.0299145,189.7216
"3Dspectralwave2.mtx.hgr","SPM",64,141087,143173.8,0.029805,272.5524
"3Dspectralwave2.mtx.hgr","SPM",128,195157,196703.7,0.0297984,368.4659
"ABACUS_shell_hd.mtx.hgr","SPM",2,210,218.8,0.008021523,0.34650461
"ABACUS_shell_hd.mtx.hgr","SPM",4,658,680,0.020109332,0.6030136
"ABACUS_shell_hd.mtx.hgr","SPM",8,1128,1174.4,0.02377863,1.1442384
"ABACUS_shell_hd.mtx.hgr","SPM",16,1884,1924.4,0.02766394,2.3043418
"ABACUS_shell_hd.mtx.hgr","SPM",32,3046,3093.7,0.02841528,4.5339337
"ABACUS_shell_hd.mtx.hgr","SPM",64,4634,4731.3,0.0273224,7.3512725
"ABACUS_shell_hd.mtx.hgr","SPM",128,7040,7113.8,0.0273224,11.66587182
"af23560.mtx.hgr","SPM",2,608,608,0,0.7701912
"af23560.mtx.hgr","SPM",4,1824,1824,0.0077928707,1.5584566
"af23560.mtx.hgr","SPM",8,3522,3672,0.02872668,2.0676573
"af23560.mtx.hgr","SPM",16,5784,5901.2,0.02966734,3.0658055
"af23560.mtx.hgr","SPM",32,9238,9340.2,0.0298507,4.7303447
"af23560.mtx.hgr","SPM",64,14322,14416.3,0.0298103,10.2862394
"af23560.mtx.hgr","SPM",128,21991,22140.7,0.027027,19.0885813
"af_4_k101.mtx.hgr","SPM",2,1700,1700,7.9424e-06,1.23490051
"af_4_k101.mtx.hgr","SPM",4,5100,5100,0.011496583,1.5186815
"af_4_k101.mtx.hgr","SPM",8,11135,11355,0.02100741,2.124209
"af_4_k101.mtx.hgr","SPM",16,17820,17949.5,0.02258793,3.1629117
"af_4_k101.mtx.hgr","SPM",32,28515,29137,0.02821019,5.4415587
"af_4_k101.mtx.hgr","SPM",64,42990,43401.5,0.02947902,10.131095
"af_4_k101.mtx.hgr","SPM",128,65465,65917.5,0.0292249,20.3796
"af_shell1.mtx.hgr","SPM",2,1825,1912.5,0.000160441745,1.2559243
"af_shell1.mtx.hgr","SPM",4,4460,4521.5,0.010082087,1.5149499
"af_shell1.mtx.hgr","SPM",8,8595,8718.5,0.02187554,2.0652548
"af_shell1.mtx.hgr","SPM",16,16235,16471.5,0.02581288,3.1872141
"af_shell1.mtx.hgr","SPM",32,26695,27070,0.02934654,5.4023069
"af_shell1.mtx.hgr","SPM",64,42150,42416.5,0.0299151,10.0192
"af_shell1.mtx.hgr","SPM",128,63535,63860.5,0.0291508,19.83866
