"graph","type","k","min_km1","avg_km1","avg_imbalance","avg_time"
"192bit.mtx.hgr","SPM",4,17398,17428.4,0.02949429991226,0.1848
"192bit.mtx.hgr","SPM",8,26743,26851.5,0.0292226767972,0.2377
"192bit.mtx.hgr","SPM",32,47755,47805.4,0.0268691588785,0.3349
"192bit.mtx.hgr","SPM",64,58250,58331.1,0.0280373831776,0.3837
"192bit.mtx.hgr","SPM",128,68871,68919.1,0.018691588785,0.421
"2cubes_sphere.mtx.hgr","SPM",2,3988,4037.2,0.01828518503922,0.4632
"2cubes_sphere.mtx.hgr","SPM",4,11099,11325.8,0.00590391360894676,0.8625
"2cubes_sphere.mtx.hgr","SPM",8,19629,20082.9,0.00139512887207432,1.2647
"2cubes_sphere.mtx.hgr","SPM",16,29246,29752.8,0.0038619167717549,1.6648
"2cubes_sphere.mtx.hgr","SPM",32,41106,41498.7,0.004382093316522,2.074
"2cubes_sphere.mtx.hgr","SPM",64,56366,56697.3,0.004918032786892,2.4954
"2cubes_sphere.mtx.hgr","SPM",128,75523,75840.8,0.004791929382096,2.9451
"2D_54019_highK.mtx.hgr","SPM",2,468,469.3,0.00021103295075926,0.1168
"2D_54019_highK.mtx.hgr","SPM",4,1248,1256.2,0.00048870788596788,0.2234
"2D_54019_highK.mtx.hgr","SPM",8,2672,2719.3,0.0008292610691548,0.333
"2D_54019_highK.mtx.hgr","SPM",16,4758,4850,0.0007106899615034,0.4464
"2D_54019_highK.mtx.hgr","SPM",32,7344,7451.8,0.003256364712848,0.5662
"2D_54019_highK.mtx.hgr","SPM",64,11249,11393.5,0.004733727810651,0.6991
"2D_54019_highK.mtx.hgr","SPM",128,16732,16878.3,0.002836879432623,0.8488
"3Dspectralwave2.mtx.hgr","SPM",2,6975,7127.3,0.02746911043532,2.2522
"3Dspectralwave2.mtx.hgr","SPM",4,21464,22079.8,0.0202336922276,4.2221
"3Dspectralwave2.mtx.hgr","SPM",8,44784,46767.2,0.017804991644061,6.1462
"3Dspectralwave2.mtx.hgr","SPM",16,70876,71853.9,0.012629444961919,8.0317
"3Dspectralwave2.mtx.hgr","SPM",32,102815,106158.5,0.012152092921333,9.9332
"3Dspectralwave2.mtx.hgr","SPM",64,149459,150529.8,0.010782380013159,11.7974
"3Dspectralwave2.mtx.hgr","SPM",128,201856,203521.9,0.009991235758095,13.684
"ABACUS_shell_hd.mtx.hgr","SPM",2,210,229,0.00058089868443512,0.0356
"ABACUS_shell_hd.mtx.hgr","SPM",4,680,717.5,0.002682385101658,0.0657
