"graph","type","k","min_km1","avg_km1","avg_imbalance","avg_time"
"192bit.mtx.hgr","SPM",4,16669,16669,0.019584916691,1.603
"192bit.mtx.hgr","SPM",8,26311,26311,0.0187025131502,1.954
"192bit.mtx.hgr","SPM",32,47482,47482,0.0163551401869,2.745
"192bit.mtx.hgr","SPM",64,58023,58023,0.0140186915888,3.042
"192bit.mtx.hgr","SPM",128,68480,68480,0.018691588785,3.284
"2cubes_sphere.mtx.hgr","SPM",2,4013,4013,0,2.455
"2cubes_sphere.mtx.hgr","SPM",4,11329,11329,0.0010247113073,4.686
"2cubes_sphere.mtx.hgr","SPM",8,19676,19676,0,6.985
"2cubes_sphere.mtx.hgr","SPM",16,29161,29161,0,8.907
"2cubes_sphere.mtx.hgr","SPM",32,40546,40546,0.00031525851198,11.236
"2cubes_sphere.mtx.hgr","SPM",64,55414,55414,0.00189155107188,13.499
"2cubes_sphere.mtx.hgr","SPM",128,74375,74375,0.00378310214376,15.848
"2D_54019_highK.mtx.hgr","SPM",2,470,470,3.70233246945e-05,0.494
"2D_54019_highK.mtx.hgr","SPM",4,1254,1254,7.40466493891e-05,0.8
"2D_54019_highK.mtx.hgr","SPM",8,2698,2698,0.000148082333778,1.242
"2D_54019_highK.mtx.hgr","SPM",16,4771,4771,0.000296120817293,1.835
"2D_54019_highK.mtx.hgr","SPM",32,7340,7340,0.00355239786856,2.234
"2D_54019_highK.mtx.hgr","SPM",64,11143,11143,0.00118343195266,2.916
"2D_54019_highK.mtx.hgr","SPM",128,16258,16258,0.00236406619385,3.705
"3Dspectralwave2.mtx.hgr","SPM",2,7200,7200,0.0198282238843,7.199
"3Dspectralwave2.mtx.hgr","SPM",4,21567,21567,0.013725651352,13.409
"3Dspectralwave2.mtx.hgr","SPM",8,44634,44634,0.0150954768363,21.485
"3Dspectralwave2.mtx.hgr","SPM",16,71014,71014,0.00816393622267,31.345
"3Dspectralwave2.mtx.hgr","SPM",32,102000,102000,0.00580758273066,40.873
"3Dspectralwave2.mtx.hgr","SPM",64,144812,144812,0.00679377602455,53.22
"3Dspectralwave2.mtx.hgr","SPM",128,199193,199193,0.00438212094654,58.599
"ABACUS_shell_hd.mtx.hgr","SPM",2,210,210,0.00546728173586,0.132
"ABACUS_shell_hd.mtx.hgr","SPM",4,658,658,0.00751751238681,0.276
"ABACUS_shell_hd.mtx.hgr","SPM",8,1152,1152,0.01127434233,0.465
"ABACUS_shell_hd.mtx.hgr","SPM",16,1922,1922,0.00819672131148,0.698
"ABACUS_shell_hd.mtx.hgr","SPM",32,3022,3022,0.00273224043716,0.948
"ABACUS_shell_hd.mtx.hgr","SPM",64,4676,4676,0.00546448087432,1.215
"ABACUS_shell_hd.mtx.hgr","SPM",128,7156,7156,0.00546448087432,1.606
"af23560.mtx.hgr","SPM",2,608,608,0,0.276
"af23560.mtx.hgr","SPM",4,1824,1824,0,0.586
"af23560.mtx.hgr","SPM",8,4042,4042,0.00305602716469,0.939
"af23560.mtx.hgr","SPM",16,6380,6380,0.00271554650373,1.283
"af23560.mtx.hgr","SPM",32,9885,9885,0.00271370420624,1.83
"af23560.mtx.hgr","SPM",64,15125,15125,0.00271002710027,2.335
"af23560.mtx.hgr","SPM",128,22810,22810,0.00540540540541,2.964
"af_4_k101.mtx.hgr","SPM",2,1700,1700,7.94240170277e-06,6.039
"af_4_k101.mtx.hgr","SPM",4,5100,5100,2.38271104862e-05,11.837
"af_4_k101.mtx.hgr","SPM",8,11540,11540,1.58846141627e-05,17.759
"af_4_k101.mtx.hgr","SPM",16,18150,18150,0.000571846109858,23.595
"af_4_k101.mtx.hgr","SPM",32,29595,29595,6.35364381474e-05,29.835
"af_4_k101.mtx.hgr","SPM",64,44545,44545,0,36.277
"af_4_k101.mtx.hgr","SPM",128,68400,68400,0.00254129606099,43.275
"af_shell1.mtx.hgr","SPM",2,1855,1855,7.92305132546e-06,6.123
"af_shell1.mtx.hgr","SPM",4,4620,4620,7.92305132546e-06,11.864
"af_shell1.mtx.hgr","SPM",8,8805,8805,4.75383079532e-05,17.597
"af_shell1.mtx.hgr","SPM",16,16660,16660,3.16917031122e-05,26.594
"af_shell1.mtx.hgr","SPM",32,27885,27885,0.000190150218673,33.529
"af_shell1.mtx.hgr","SPM",64,43515,43515,0.00329572822918,36.102
"af_shell1.mtx.hgr","SPM",128,65905,65905,0.00253485424588,43.585
"airfoil_2d.mtx.hgr","SPM",2,340,340,0.00984944420993,0.271
"airfoil_2d.mtx.hgr","SPM",4,845,845,0.00872256612268,0.427
"airfoil_2d.mtx.hgr","SPM",8,1593,1593,0.00619020821609,0.555
"airfoil_2d.mtx.hgr","SPM",16,2551,2551,0.00674915635546,0.864
"airfoil_2d.mtx.hgr","SPM",32,4293,4293,0.00449438202247,1.158
"airfoil_2d.mtx.hgr","SPM",64,6732,6732,0,1.507
"airfoil_2d.mtx.hgr","SPM",128,10438,10438,0,1.808
"Andrews.mtx.hgr","SPM",2,4214,4214,0.02,2.082
"Andrews.mtx.hgr","SPM",4,9786,9786,0.0142,4.774
"Andrews.mtx.hgr","SPM",8,17388,17388,0.012,6.42
"Andrews.mtx.hgr","SPM",16,28092,28092,0.00906666666667,8.61
"Andrews.mtx.hgr","SPM",32,42793,42793,0.0128,10.597
"Andrews.mtx.hgr","SPM",64,63341,63341,0.00959488272921,12.098
"Andrews.mtx.hgr","SPM",128,89668,89668,0.00639658848614,13.34
"appu.mtx.hgr","SPM",2,13994,13994,0,10.453
"appu.mtx.hgr","SPM",4,41947,41947,0,19.671
"appu.mtx.hgr","SPM",8,97377,97377,0,24.361
"appu.mtx.hgr","SPM",16,204987,204987,0.00457142857143,30.831
"appu.mtx.hgr","SPM",32,400987,400987,0.00456621004566,36.54
"as-22july06.mtx.hgr","SPM",2,1116,1116,0,0.519
"as-22july06.mtx.hgr","SPM",4,1734,1734,0,0.936
"as-22july06.mtx.hgr","SPM",8,2842,2842,0.00661790316963,1.21
"as-22july06.mtx.hgr","SPM",16,5097,5097,0.00905292479109,1.502
"as-22july06.mtx.hgr","SPM",32,6621,6621,0.00974930362117,1.747
"as-22july06.mtx.hgr","SPM",64,8983,8983,0.0111420612813,1.976
"as-22july06.mtx.hgr","SPM",128,11732,11732,0.00555555555556,2.21
"as-caida.mtx.hgr","SPM",2,669,669,0,0.792
"as-caida.mtx.hgr","SPM",4,1828,1828,0,1.197
"as-caida.mtx.hgr","SPM",8,4019,4019,0,1.545
"as-caida.mtx.hgr","SPM",16,4621,4621,0.00254841997961,1.923
"as-caida.mtx.hgr","SPM",32,6555,6555,0.00713557594292,2.15
"as-caida.mtx.hgr","SPM",64,8829,8829,0.0061099796334,2.433
"as-caida.mtx.hgr","SPM",128,11501,11501,0.00406504065041,2.66
"astro-ph.mtx.hgr","SPM",2,3321,3321,0.0172393152161,0.576
"astro-ph.mtx.hgr","SPM",4,7148,7148,0.00383050035911,1.073
"astro-ph.mtx.hgr","SPM",8,12252,12252,0,1.474
"astro-ph.mtx.hgr","SPM",16,17813,17813,0.00287081339713,1.89
"astro-ph.mtx.hgr","SPM",32,23180,23180,0.0019120458891,2.375
"astro-ph.mtx.hgr","SPM",64,29216,29216,0,2.651
"astro-ph.mtx.hgr","SPM",128,35090,35090,0,3.082
"atmosmodj.mtx.hgr","SPM",2,17168,17168,0,12.469
"atmosmodj.mtx.hgr","SPM",4,33916,33916,0,30.802
"atmosmodj.mtx.hgr","SPM",8,67677,67677,0,45.804
"atmosmodj.mtx.hgr","SPM",16,101781,101781,0,56.074
"atmosmodj.mtx.hgr","SPM",32,140165,140165,0,68.584
"atmosmodj.mtx.hgr","SPM",64,188192,188192,0.0010075059191,83.355
"atmosmodj.mtx.hgr","SPM",128,252236,252236,0.00251863792061,100.067
"av41092.mtx.hgr","SPM",2,640,640,0,6.85
"av41092.mtx.hgr","SPM",4,1646,1646,0.00467244232454,11.268
"av41092.mtx.hgr","SPM",8,4418,4418,0.00233599377068,13.45
"av41092.mtx.hgr","SPM",16,7702,7702,0.00272479564033,17.228
"av41092.mtx.hgr","SPM",32,13068,13068,0.00311284046693,17.943
"av41092.mtx.hgr","SPM",64,19486,19486,0.00155520995334,20.404
"av41092.mtx.hgr","SPM",128,28148,28148,0,22.827
"barrier2-1.mtx.hgr","SPM",2,7333,7333,0,4.277
"barrier2-1.mtx.hgr","SPM",4,14066,14066,0.00385581378896,5.778
"barrier2-1.mtx.hgr","SPM",8,22940,22940,0.000707463742483,9.601
"barrier2-1.mtx.hgr","SPM",16,33868,33868,0.00339558573854,14.373
"barrier2-1.mtx.hgr","SPM",32,48335,48335,0.00254668930391,14.73
"barrier2-1.mtx.hgr","SPM",64,67253,67253,0.00452744765139,18.522
"barrier2-1.mtx.hgr","SPM",128,93057,93057,0.00565610859729,21.152
"Baumann.mtx.hgr","SPM",2,2222,2222,0,0.924
"Baumann.mtx.hgr","SPM",4,4449,4449,0,2.001
"Baumann.mtx.hgr","SPM",8,8157,8157,0,3.252
